,userId,,company,,role,,location,,startDate,,endDate,
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Makenna,"','",Kwinu,"','",Financial Advisor,"','",Tyoply Stan,"','",5/1/1975,"','",1/30/1949,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Aida,"','",Babbleopia,"','",Senior Developer,"','",Xishaqiao,"','",6/21/2001,"','",3/6/2012,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Lora,"','",Jaxspan,"','",Account Executive,"','",Tyoply Stan,"','",2/10/1999,"','",10/29/1980,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Pablo_Lubowitz,"','",Blogtags,"','",Statistician III,"','",Tyoply Stan,"','",6/30/1920,"','",1/27/1930,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Isabella_Miller,"','",Jaxworks,"','",Senior Financial Analyst,"','",Dongqiao,"','",12/23/1932,"','",1/28/1950,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Gunnar,"','",Jabbertype,"','",Software Test Engineer III,"','",Jieshi,"','",9/6/1965,"','",9/25/1982,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Demond,"','",Rhyzio,"','",Human Resources Manager,"','",Caoping,"','",2/3/1944,"','",12/2/2012,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Eulalia.O''Reilly,"','",Voomm,"','",Senior Editor,"','",Chinameca,"','",7/30/1912,"','",10/1/2011,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Mertie.Gerlach,"','",Realmix,"','",Mechanical Systems Engineer,"','",Kitsuki,"','",7/2/1932,"','",6/10/2008,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Esteban,"','",Skimia,"','",Senior Cost Accountant,"','",Hampang,"','",3/5/1936,"','",8/31/2002,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Tyrique,"','",Quimm,"','",Design Engineer,"','",Montreuil,"','",12/15/1996,"','",3/26/2014,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Missouri,"','",Zava,"','",Account Representative III,"','",Bangbayang,"','",12/17/1948,"','",5/18/1929,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Baron.Kreiger,"','",Voolith,"','",Marketing Assistant,"','",Luau,"','",1/25/2003,"','",7/12/1932,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Greta.Funk,"','",Myworks,"','",Quality Control Specialist,"','",Waina,"','",9/23/1969,"','",10/23/2010,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Darrick.Nienow,"','",Kaymbo,"','",Chief Design Engineer,"','",Las Parejas,"','",7/17/1942,"','",11/23/1911,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Neal,"','",Tagcat,"','",Analyst Programmer,"','",Santa Clara La Laguna,"','",11/10/1926,"','",1/11/1915,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Deanna_White,"','",Katz,"','",Desktop Support Technician,"','",Butembo,"','",2/20/1926,"','",10/21/1955,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Magali,"','",Flipbug,"','",Staff Accountant III,"','",Pasadena,"','",7/14/1910,"','",1/7/1970,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Lonzo.Abshire,"','",Katz,"','",Software Consultant,"','",Tyoply Stan,"','",9/19/1956,"','",2/2/1922,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Friedrich.Christiansen,"','",Zoovu,"','",Office Assistant III,"','",Tyoply Stan,"','",10/16/2004,"','",1/22/1924,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Lavern.Abbott,"','",Rhyzio,"','",Assistant Media Planner,"','",Guotan,"','",12/8/1989,"','",10/7/1952,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Kayli,"','",Realbridge,"','",Pharmacist,"','",Suibara,"','",3/2/1992,"','",11/26/1918,');
